country,currency,capital_city,region,continent,gdp,agricultural_land,forest_area,land_area,inflation,co2_emissions,health_expenditure_capita,hospital_beds,suicide_rate,birth_rate,death_rate,fertility_rate,internet_pct,life_expectancy,population_female,population_male,population,rural_population,urban_population,democracy_type,median_age,Density (P/Km²),Land Area (Km²),World Share
Afghanistan,Afghan afghani,Kabul,Southern Asia,Asia,14583100000.0,383560.0,12084.4,652230.0,2.30237,8709.47,81.3198,0.39,4.1,35.842,7.344,4.643,18.4,62.0,20362329,20766442,41128771,30181937,10946834,Authoritarian,12.9,60,652860,0.5
Albania,Albanian lek,Tirana,Southern Europe,Europe,18882100000.0,11655.5,7889.0,27400.0,6.7252,4383.2,350.835,2.89,4.3,10.24,11.325,1.39,79.32,76.0,1391085,1384548,2775634,1004807,1770827,Hybrid regime,33.7,105,27400,0.04
Algeria,Algerian dinar,Algiers,Northern Africa,Africa,191913000000.0,413588.0,19490.0,2381740.0,9.26552,161563.0,214.852,1.9,2.5,21.524,4.546,2.889,70.77,76.0,22040987,22862237,44903225,11328186,33575039,Authoritarian,24.0,18,2381740,0.56
Angola,Angolan kwanza,Luanda,Middle Africa,Africa,106714000000.0,569525.0,666074.0,1246700.0,25.7543,19814.5,50.7426,0.8,6.1,38.809,8.009,5.304,32.6023,62.0,17998220,17590767,35588987,11359649,24229338,Authoritarian,12.4,26,1246700,0.42
Antigua and Barbuda,East Caribbean dollar,Saint John's,Caribbean,Americas,1757600000.0,90.0,81.2,440.0,7.53108,474.6,830.34,2.89,0.4,12.115,6.365,1.58,95.6634,78.0,48981,44782,93763,70935,22828,Unknown,31.1,223,440,0.0
Argentina,Argentine peso,Buenos Aires,South America,Americas,632770000000.0,1083820.0,285730.0,2736690.0,,154536.0,863.714,4.99,8.4,13.902,8.955,1.885,87.1507,75.0,23345532,22889298,46234830,3538352,42696478,Flawed democracy,27.6,17,2736690,0.58
Armenia,Armenian dram,Yerevan,Western Asia,Asia,19502800000.0,16760.0,3284.7,28470.0,8.64091,6746.6,551.543,4.2,3.3,12.049,13.007,1.575,78.6123,72.0,1530390,1250079,2780469,1012841,1767628,Hybrid regime,30.8,104,28470,0.04
Australia,Australian dollar,Canberra,Australia and New Zealand,Oceania,1675420000000.0,3557750.0,1340050.0,7692020.0,6.5941,378997.0,5901.11,3.84,12.5,12.1,6.7,1.7,96.24,83.0,13079142,12899794,25978935,3510274,22468661,Full democracy,33.3,3,7682300,0.33
Austria,Euro,Vienna,Western Europe,Europe,471400000000.0,26467.6,38991.5,82520.0,8.54687,59142.4,6491.12,7.27,14.6,9.6,10.3,1.48,92.5292,81.0,4590655,4451873,9042528,3684288,5358240,Full democracy,39.0,109,82409,0.12
Azerbaijan,New Azeri manat,Baku,Western Asia,Asia,78721100000.0,47801.0,11317.7,82646.0,13.8523,34305.0,191.227,4.82,4.1,11.1,7.6,1.52,86.0,69.0,5154492,5020523,10175016,4357959,5817057,Authoritarian,27.9,123,82658,0.13
Bahrain,Bahraini dinar,Manama,Western Asia,Asia,44390800000.0,86.0,7.0,785.0,3.62574,32470.2,1110.0,1.74,8.9,11.926,2.479,1.811,100.0,79.0,560034,912199,1472233,151007,1321226,Authoritarian,29.2,2239,760,0.02
Bangladesh,Bangladeshi taka,Dhaka,Southern Asia,Asia,460201000000.0,99010.0,18834.0,130170.0,7.69695,85493.1,50.6641,0.79,3.7,17.821,5.68,1.981,38.9174,72.0,86327159,84859213,171186372,103206552,67979820,Hybrid regime,22.7,1265,130170,2.11
